Year,Pleasure Holiday,Trekking & Mountaineering,Business,Pilgrimage,Official,Conv./Conf.,Others,Not Specified,Total
1993,170279,69619,19495,10429,15812,5367,2566,-,293567
,(58.0),23.7,6.6,(3.6),(5.4),1.8,0.9,,(100.0)
1994,168155,76865,23522,5475,20431,5361,26722,-,326531
,(51.5),23.5,7.2,(1.7),(6.3),1.6,8.2,,(100.0)
1995,183207,84787,21829,5257,20090,5272,42953,-,363395
,(50.4),23.3,6,(1.4),(5.5),1.5,11.8,,(100.0)
1996,209377,88945,25079,4802,20191,6054,39165,-,393613
,(53.2),22.6,6.4,(1.2),(5.1),1.5,10,,(100.0)
1997,249360,91525,27409,4068,24106,5824,19565,-,421857
,(59.1),21.7,6.5,(1.0),(5.7),1.4,4.6,,(100.0)
1998,261347,112664,24954,16164,22123,5181,21271,-,463684
,(56.4),24.3,5.4,(3.5),(4.8),1.1,4.6,,(100.0)
1999,290862,107960,23813,19198,24132,5965,19574,-,491504
,(59.2),22,4.8,(3.9),(4.9),1.2,4,,(100.0)
2000,255889,118780,29454,15801,20832,5599,17291,-,463646
,(55.2),25.6,6.4,(3.4),(4.5),1.2,3.7,,(100.0)
2001,187022,100828,18528,13816,18727,0,22316,-,361237
,(51.8),27.9,5.1,(3.8),(5.2),0,6.2,,(100.0)
2002,110143,59279,16990,12366,17783,0,58907,-,275468
,(40.0),21.5,6.2,(4.5),(6.5),0,21.4,,(100.0)
2003,97904,65721,19387,21395,21967,0,111758,-,338132
,(29.0),19.4,5.7,(6.3),(6.5),0,33.1,,(100.0)
2004,167262,69442,13948,45664,17088,0,71893,-,385297
,(43.4),18,3.6,(11.9),(4.4),0,18.7,,(100.0)
2005,160259,61488,21992,47621,16859,0,67179,-,375398
,(42.7),16.4,5.9,(12.7),(4.5),(0.0),(17.9),,100
2006,145802,66931,21066,59298,18063,0,72766,-,383926
,(27.7),12.7,4,(11.3),(3.4),(0.0),(13.8),,100
2007,217815,101320,24487,52594,21670,8019,78644,22156,526705
,(41.4),19.2,4.6,(10.0),(4.1),(1.5),(14.9),(4.2),100
2008,148180,104822,23039,45091,43044,6938,99634,29529,500277
,(29.6),21,4.6,(9.0),(8.6),(1.4),(19.9),(5.9),100
2009,140992,132929,22758,51542,24518,9985,87134,40098,509956
,(27.6),26.1,4.5,(10.1),(4.8),(2.0),(17.1),(7.9),100
2010,263938,70218,21377,101335,26374,9627,52347,57651,602867
,(43.8),11.6,3.5,(16.8),(4.4),(1.6),(8.7),(9.6),100
2011,425721,86260,17859,63783,24054,10836,37311,70391,736215
,(57.8),11.7,2.4,(8.7),(3.3),(1.5),(5.1),(9.6),100
2012,379627,105015,24785,109854,30460,13646,48540,91165,803092
,(47.3),13.1,3.1,(13.7),(3.8),(1.7),(6.0),(11.4),100
2013,437891,97309,30309,40678,39881,15952,62214,73381,797616
,(54.9),12.2,3.8,(5.1),(5.0),(2.0),(7.8),(9.2),100
2014,395849,97185,24494,98765,32395,13432,53728,74271,790118
,(50.1),12.3,3.1,(12.5),(4.1),(1.7),(6.8),(9.4),100
2015,"3,86,065",9162,20876,14996,21479,9038,77354,,538970
,71.63,1.7,3.87,2.78,3.99,1.68,14.35,,100
2016,489451,66490,24322,82830,21310,12801,55797,,753002
,65,8.83,3.23,11,2.83,1.7,7.41,,100
2017,658153,75217,na,141033,na,na,65815,,940218
,70,8,,15,,,7,,100
2018,703843,187692,na,169180,na,na,112357,,1173072
,60,16,,14.4,,,9.6,,100
